907 Hæll Meðalhiti
nr	ar	 man	   t	mat
907	1880	 1	-1.2	4
907	1880	 2	  NA	4
907	1880	 3	  NA	4
907	1880	 4	  NA	4
907	1880	 5	  NA	4
907	1880	 6	  NA	4
907	1880	 7	13.2	4
907	1880	 8	12.2	4
907	1880	 9	 7.2	4
907	1880	10	-0.1	4
907	1880	11	-3.4	4
907	1880	12	-8.6	4
907	1881	 1	-9.3	4
907	1881	 2	-5.0	4
907	1881	 3	-8.7	4
907	1881	 4	 3.8	4
907	1881	 5	 6.5	4
907	1881	 6	 8.2	4
907	1881	 7	10.4	4
907	1881	 8	 8.6	4
907	1881	 9	 9.2	4
907	1881	10	 3.6	4
907	1881	11	 1.1	4
907	1881	12	-2.2	4
907	1882	 1	-2.1	4
907	1882	 2	-3.2	4
907	1882	 3	-4.3	4
907	1882	 4	-1.9	4
907	1882	 5	 4.1	4
907	1882	 6	 8.2	4
907	1882	 7	10.9	4
907	1882	 8	 7.0	4
907	1882	 9	 5.2	4
907	1882	10	 5.3	4
907	1882	11	-0.9	4
907	1882	12	-5.0	4
907	1883	 1	-1.2	4
907	1883	 2	-1.3	4
907	1883	 3	-2.4	4
907	1883	 4	 2.8	4
907	1883	 5	 3.2	4
907	1883	 6	 8.8	4
907	1883	 7	11.9	4
907	1883	 8	 9.2	4
907	1883	 9	 8.0	4
907	1883	10	 3.4	4
907	1883	11	 0.7	4
907	1883	12	-1.8	4
907	1884	 1	-3.2	4
907	1884	 2	-0.9	4
907	1884	 3	 1.8	4
907	1884	 4	 3.4	4
907	1884	 5	 3.0	4
907	1884	 6	 7.1	4
907	1884	 7	10.9	4
907	1884	 8	 8.1	4
907	1884	 9	 6.7	4
907	1884	10	 0.9	4
907	1884	11	-0.5	4
907	1884	12	-2.2	4
907	1885	 1	-0.1	4
907	1885	 2	-7.2	4
907	1885	 3	-3.9	4
907	1885	 4	 1.1	4
907	1885	 5	 3.2	4
907	1885	 6	 5.5	4
907	1885	 7	 8.6	4
907	1885	 8	 8.7	4
907	1885	 9	 5.8	4
907	1885	10	 0.8	4
907	1885	11	-0.4	4
907	1885	12	-3.8	4
907	1886	 1	-6.0	4
907	1886	 2	-2.9	4
907	1886	 3	-1.3	4
907	1886	 4	 0.3	4
907	1886	 5	 4.2	4
907	1886	 6	 7.5	4
907	1886	 7	 9.4	4
907	1886	 8	 7.6	4
907	1886	 9	 6.5	4
907	1886	10	 4.0	4
907	1886	11	-0.2	4
907	1886	12	-7.0	4
907	1887	 1	-3.1	4
907	1887	 2	-3.0	4
907	1887	 3	-3.5	4
907	1887	 4	-1.4	4
907	1887	 5	 5.4	4
907	1887	 6	 9.4	4
907	1887	 7	 9.4	4
907	1887	 8	10.4	4
907	1887	 9	 6.8	4
907	1887	10	 0.2	4
907	1887	11	-4.7	4
907	1887	12	-6.2	4
907	1888	 1	-2.1	4
907	1888	 2	-3.0	4
907	1888	 3	-5.2	4
907	1888	 4	 1.4	4
907	1888	 5	 2.5	4
907	1888	 6	 8.8	4
907	1888	 7	10.7	4
907	1888	 8	 9.3	4
907	1888	 9	 5.9	4
907	1888	10	 2.0	4
907	1888	11	-0.6	4
907	1888	12	-1.8	4
907	1889	 1	-3.5	4
907	1889	 2	-4.3	4
907	1889	 3	-1.4	4
907	1889	 4	 1.3	4
907	1889	 5	 8.2	4
907	1889	 6	 9.2	4
907	1889	 7	12.4	4
907	1889	 8	 9.8	4
907	1889	 9	 6.0	4
907	1889	10	 3.5	4
907	1889	11	-0.7	4
907	1889	12	-3.1	4
907	1890	 1	-3.9	4
907	1890	 2	-0.1	4
907	1890	 3	-2.2	4
907	1890	 4	 3.2	4
907	1890	 5	 8.2	4
907	1890	 6	 8.1	4
907	1890	 7	 9.6	4
907	1890	 8	 8.1	4
907	1890	 9	 6.7	4
907	1890	10	 1.6	4
907	1890	11	-1.3	4
907	1890	12	-0.9	4
907	1891	 1	-3.1	4
907	1891	 2	-0.6	4
907	1891	 3	-8.2	4
907	1891	 4	 2.2	4
907	1891	 5	 4.8	4
907	1891	 6	10.8	4
907	1891	 7	10.8	4
907	1891	 8	 8.8	4
907	1891	 9	 5.5	4
907	1891	10	 4.2	4
907	1891	11	-2.0	4
907	1891	12	-4.8	4
907	1892	 1	-5.8	4
907	1892	 2	-5.7	4
907	1892	 3	-5.5	4
907	1892	 4	-0.5	4
907	1892	 5	 3.3	4
907	1892	 6	 7.7	4
907	1892	 7	 7.9	4
907	1892	 8	 7.7	4
907	1892	 9	 3.1	4
907	1892	10	 1.6	4
907	1892	11	-2.7	4
907	1892	12	-4.3	4
907	1893	 1	-3.1	4
907	1893	 2	-3.4	4
907	1893	 3	-1.1	4
907	1893	 4	 2.8	4
907	1893	 5	 7.3	4
907	1893	 6	 9.1	4
907	1893	 7	11.9	4
907	1893	 8	11.6	4
907	1893	 9	 7.1	4
907	1893	10	 0.3	4
907	1893	11	-2.1	4
907	1893	12	-3.0	4
907	1894	 1	-2.5	4
907	1894	 2	-3.4	4
907	1894	 3	-2.4	4
907	1894	 4	 6.7	4
907	1894	 5	 6.3	4
907	1894	 6	10.6	4
907	1894	 7	13.3	4
907	1894	 8	10.3	4
907	1894	 9	 7.0	4
907	1894	10	 1.5	4
907	1894	11	 0.0	4
907	1894	12	-4.9	4
907	1895	 1	-5.6	4
907	1895	 2	-0.4	4
907	1895	 3	 0.8	4
907	1895	 4	 2.0	4
907	1895	 5	 7.7	4
907	1895	 6	10.8	4
907	1895	 7	11.3	4
907	1895	 8	10.2	4
907	1895	 9	 7.5	4
907	1895	10	 0.6	4
907	1895	11	 0.4	4
907	1895	12	-1.8	4
907	1896	 1	-2.8	4
907	1896	 2	 1.6	4
907	1896	 3	-2.2	4
907	1896	 4	 2.6	4
907	1896	 5	 6.8	4
907	1896	 6	 8.4	4
907	1896	 7	10.9	4
907	1896	 8	10.0	4
