745 Fagurhólsmýri Meðalhiti
nr	ar	 man	   t	mat
745	1898	 1	 0.7	2
745	1898	 2	-2.2	2
745	1898	 3	 0.5	2
745	1898	 4	 4.2	2
745	1898	 5	 5.7	2
745	1898	 6	 9.3	2
745	1898	 7	 9.9	2
745	1898	 8	 9.1	2
745	1898	 9	 7.7	2
745	1898	10	 5.9	2
745	1898	11	 0.2	2
745	1898	12	 0.2	2
745	1899	 1	-1.1	2
745	1899	 2	 1.3	2
745	1899	 3	-1.8	2
745	1899	 4	 0.8	2
745	1899	 5	 5.4	2
745	1899	 6	 9.1	2
745	1899	 7	10.2	2
745	1899	 8	10.8	2
745	1899	 9	 6.2	2
745	1899	10	 2.8	2
745	1899	11	 1.6	2
745	1899	12	 0.5	2
745	1900	 1	 0.8	2
745	1900	 2	-2.0	2
745	1900	 3	-0.3	2
745	1900	 4	 2.9	2
745	1900	 5	 6.5	2
745	1900	 6	 9.2	2
745	1900	 7	10.1	2
745	1900	 8	10.1	2
745	1900	 9	 7.4	2
745	1900	10	 3.2	2
745	1900	11	 2.5	2
745	1900	12	 0.5	2
745	1901	 1	 1.6	2
745	1901	 2	 0.5	2
745	1901	 3	 0.8	2
745	1901	 4	 2.1	2
745	1901	 5	 7.2	2
745	1901	 6	 8.8	2
745	1901	 7	 9.8	2
745	1901	 8	 8.8	2
745	1901	 9	 9.8	2
745	1901	10	 4.2	2
745	1901	11	 2.0	2
745	1901	12	-0.5	2
745	1902	 1	-2.4	2
745	1902	 2	 0.2	2
745	1902	 3	 0.3	2
745	1902	 4	 3.0	2
745	1902	 5	 4.8	2
745	1902	 6	 7.7	2
745	1902	 7	 9.2	2
745	1902	 8	 7.2	2
745	1902	 9	 8.2	2
745	1902	10	 6.0	2
745	1902	11	 4.7	2
745	1902	12	 1.7	2
745	1903	 1	-0.3	4
745	1903	 2	-0.3	4
745	1903	 3	 0.1	4
745	1903	 4	 1.4	4
745	1903	 5	 5.0	4
745	1903	 6	 8.4	4
745	1903	 7	 9.9	4
745	1903	 8	 7.8	4
745	1903	 9	 8.4	4
745	1903	10	 3.6	4
745	1903	11	 0.1	4
745	1903	12	 2.0	4
745	1904	 1	 0.3	4
745	1904	 2	 0.2	4
745	1904	 3	 0.7	4
745	1904	 4	 2.8	4
745	1904	 5	 6.3	4
745	1904	 6	 9.5	4
745	1904	 7	11.3	4
745	1904	 8	10.1	4
745	1904	 9	 9.1	4
745	1904	10	 2.9	4
745	1904	11	-0.1	4
745	1904	12	-0.8	4
745	1905	 1	-1.2	4
745	1905	 2	-1.4	4
745	1905	 3	 2.5	4
745	1905	 4	 2.5	4
745	1905	 5	 6.0	4
745	1905	 6	 9.6	4
745	1905	 7	10.7	4
745	1905	 8	 9.7	4
745	1905	 9	 7.7	4
745	1905	10	 3.1	4
745	1905	11	 1.9	4
745	1905	12	 1.1	4
745	1906	 1	 0.1	4
745	1906	 2	-2.4	4
745	1906	 3	-0.6	4
745	1906	 4	 2.5	4
745	1906	 5	 3.6	4
745	1906	 6	 9.7	4
745	1906	 7	 9.8	4
745	1906	 8	 8.4	4
745	1906	 9	 7.8	4
745	1906	10	 4.5	4
745	1906	11	 1.8	4
745	1906	12	-2.6	4
745	1907	 1	-0.2	4
745	1907	 2	-1.9	4
745	1907	 3	-0.9	4
745	1907	 4	 3.8	4
745	1907	 5	 5.5	4
745	1907	 6	 7.2	4
745	1907	 7	 9.8	4
745	1907	 8	 7.8	4
745	1907	 9	 6.5	4
745	1907	10	 3.9	4
745	1907	11	 0.5	4
745	1907	12	 2.2	4
745	1908	 1	-0.2	4
745	1908	 2	-1.4	4
745	1908	 3	 1.6	4
745	1908	 4	 3.7	4
745	1908	 5	 5.2	4
745	1908	 6	 8.8	4
745	1908	 7	11.7	4
745	1908	 8	 9.5	4
745	1908	 9	 8.4	4
745	1908	10	 7.3	4
745	1908	11	 1.9	4
745	1908	12	 1.9	4
745	1909	 1	-0.8	4
745	1909	 2	 2.3	4
745	1909	 3	 0.4	4
745	1909	 4	 4.5	4
745	1909	 5	 5.7	4
745	1909	 6	10.9	4
745	1909	 7	10.8	4
745	1909	 8	10.1	4
745	1909	 9	 8.4	4
745	1909	10	 2.9	4
745	1909	11	 0.8	4
745	1909	12	-2.5	4
745	1910	 1	-1.8	4
745	1910	 2	-0.3	4
745	1910	 3	 2.2	4
745	1910	 4	 1.6	4
745	1910	 5	 6.0	4
745	1910	 6	 8.4	4
745	1910	 7	10.7	4
745	1910	 8	 9.7	4
745	1910	 9	 7.2	4
745	1910	10	 5.7	4
745	1910	11	-0.5	4
745	1910	12	 1.0	4
745	1911	 1	-0.4	4
745	1911	 2	-1.1	4
745	1911	 3	 1.2	4
745	1911	 4	 2.6	4
745	1911	 5	 6.3	4
745	1911	 6	 8.2	4
745	1911	 7	10.0	4
745	1911	 8	 9.6	4
745	1911	 9	 7.1	4
745	1911	10	 4.5	4
745	1911	11	 1.1	4
745	1911	12	 2.9	4
745	1912	 1	 1.8	4
745	1912	 2	-0.8	4
745	1912	 3	 1.6	4
745	1912	 4	 4.2	4
745	1912	 5	 7.2	4
745	1912	 6	 8.7	4
745	1912	 7	10.8	4
745	1912	 8	 8.2	4
745	1912	 9	 8.1	4
745	1912	10	 4.6	4
745	1912	11	-0.2	4
745	1912	12	-1.0	4
745	1913	 1	 1.8	4
745	1913	 2	 1.6	4
745	1913	 3	-0.9	4
745	1913	 4	 4.0	4
745	1913	 5	 6.5	4
745	1913	 6	 7.8	4
745	1913	 7	11.3	4
745	1913	 8	10.3	4
745	1913	 9	 7.5	4
745	1913	10	 4.2	4
745	1913	11	 0.7	4
745	1913	12	-0.5	4
745	1914	 1	 1.6	4
745	1914	 2	 0.1	4
745	1914	 3	 0.3	4
745	1914	 4	 2.8	4
745	1914	 5	 4.0	4
745	1914	 6	 8.8	4
745	1914	 7	10.7	4
745	1914	 8	10.0	4
745	1914	 9	 7.0	4
745	1914	10	 5.3	4
745	1914	11	 0.1	4
745	1914	12	 0.2	4
745	1915	 1	 0.5	4
745	1915	 2	-0.7	4
745	1915	 3	-0.8	4
745	1915	 4	 2.6	4
745	1915	 5	 6.5	4
745	1915	 6	 8.7	4
745	1915	 7	 9.7	4
745	1915	 8	 9.6	4
745	1915	 9	 6.8	4
745	1915	10	 7.6	4
745	1915	11	 2.2	4
745	1915	12	-1.3	4
745	1916	 1	 0.6	4
745	1916	 2	-0.2	4
745	1916	 3	-0.1	4
745	1916	 4	 2.5	4
745	1916	 5	 5.5	4
745	1916	 6	 9.8	4
745	1916	 7	10.9	4
745	1916	 8	 9.9	4
745	1916	 9	 8.1	4
745	1916	10	 4.7	4
745	1916	11	 2.2	4
745	1916	12	-1.9	4
745	1917	 1	 0.4	4
745	1917	 2	 0.9	4
745	1917	 3	 1.9	4
745	1917	 4	 0.0	4
745	1917	 5	 5.5	4
745	1917	 6	 8.8	4
745	1917	 7	12.3	4
745	1917	 8	10.7	4
745	1917	 9	 6.5	4
745	1917	10	 1.4	4
745	1917	11	-0.5	4
745	1917	12	-2.4	4
745	1918	 1	-5.7	4
745	1918	 2	 0.3	4
745	1918	 3	 3.5	4
745	1918	 4	 4.0	4
745	1918	 5	 7.1	4
745	1918	 6	 9.7	4
745	1918	 7	 9.1	4
745	1918	 8	 8.6	4
745	1918	 9	 6.0	4
745	1918	10	 4.1	4
745	1918	11	 2.0	4
745	1918	12	 0.1	4
745	1919	 1	 0.2	4
745	1919	 2	-1.4	4
745	1919	 3	-3.0	4
745	1919	 4	 1.8	4
745	1919	 5	 6.8	4
745	1919	 6	 9.7	4
745	1919	 7	11.4	4
745	1919	 8	 9.8	4
745	1919	 9	 6.0	4
745	1919	10	 4.0	4
745	1919	11	-1.4	4
745	1919	12	 0.3	4
745	1920	 1	-2.4	4
745	1920	 2	-1.6	4
745	1920	 3	-1.0	4
745	1920	 4	 1.4	4
745	1920	 5	 5.1	4
745	1920	 6	 9.7	4
745	1920	 7	10.8	4
745	1920	 8	10.1	4
745	1920	 9	 7.7	4
745	1920	10	 7.2	4
745	1920	11	 3.0	4
745	1920	12	 2.3	4
745	1921	 1	-1.5	4
745	1921	 2	 2.4	4
745	1921	 3	-0.5	4
745	1921	 4	 4.0	4
745	1921	 5	 4.8	4
745	1921	 6	 9.2	4
745	1921	 7	 9.9	4
745	1921	 8	 9.3	4
745	1921	 9	 6.2	4
745	1921	10	 3.5	4
745	1921	11	 1.9	4
745	1921	12	 0.1	4
745	1922	 1	 0.8	4
