404 Grímsey Meðalhiti
nr	ar	 man	   t	mat
404	1874	 1	-11.3	5
404	1874	 2	-5.2	5
404	1874	 3	-4.3	5
404	1874	 4	-1.8	5
404	1874	 5	 3.0	5
404	1874	 6	 6.3	5
404	1874	 7	 7.5	5
404	1874	 8	 6.7	5
404	1874	 9	 5.0	5
404	1874	10	 1.6	5
404	1874	11	-0.1	5
404	1874	12	-1.6	5
404	1875	 1	-2.3	5
404	1875	 2	 0.2	5
404	1875	 3	 0.9	5
404	1875	 4	 1.8	5
404	1875	 5	 3.5	5
404	1875	 6	 4.5	5
404	1875	 7	 7.3	5
404	1875	 8	 8.0	5
404	1875	 9	 5.9	5
404	1875	10	 3.9	5
404	1875	11	-0.5	5
404	1875	12	 2.1	5
404	1876	 1	 1.6	5
404	1876	 2	-1.7	5
404	1876	 3	-5.2	5
404	1876	 4	-7.2	5
404	1876	 5	 3.0	5
404	1876	 6	 5.2	5
404	1876	 7	 6.9	5
404	1876	 8	 8.7	5
404	1876	 9	 6.5	5
404	1876	10	 4.2	5
404	1876	11	 1.8	5
404	1876	12	 1.1	5
404	1877	 1	-1.2	5
404	1877	 2	-3.5	5
404	1877	 3	-4.2	5
404	1877	 4	-2.5	5
404	1877	 5	 1.7	5
404	1877	 6	 3.9	5
404	1877	 7	 5.6	5
404	1877	 8	 6.5	5
404	1877	 9	 7.3	5
404	1877	10	 2.2	5
404	1877	11	-0.8	5
404	1877	12	-1.6	5
404	1878	 1	-3.0	5
404	1878	 2	-2.7	5
404	1878	 3	-4.7	5
404	1878	 4	-2.2	5
404	1878	 5	 0.3	5
404	1878	 6	 6.8	5
404	1878	 7	 9.3	5
404	1878	 8	 8.8	5
404	1878	 9	 5.7	5
404	1878	10	 1.2	5
404	1878	11	-0.6	5
404	1878	12	-6.3	5
404	1879	 1	-0.9	5
404	1879	 2	-3.5	5
404	1879	 3	-3.6	5
404	1879	 4	-0.6	5
404	1879	 5	 2.3	5
404	1879	 6	 5.2	5
404	1879	 7	 5.5	5
404	1879	 8	 8.3	5
404	1879	 9	 5.7	5
404	1879	10	 4.0	5
404	1879	11	 1.9	5
404	1879	12	 0.9	5
404	1880	 1	 0.5	5
404	1880	 2	-1.2	5
404	1880	 3	 1.3	5
404	1880	 4	 3.3	5
404	1880	 5	 3.7	5
404	1880	 6	 7.1	5
404	1880	 7	10.2	5
404	1880	 8	10.8	5
404	1880	 9	 5.0	5
404	1880	10	 0.9	5
404	1880	11	-3.8	5
404	1880	12	-8.8	5
404	1881	 1	-13.1	5
404	1881	 2	-10.8	5
404	1881	 3	-17.0	5
404	1881	 4	-1.5	5
404	1881	 5	 2.0	5
404	1881	 6	 5.0	5
404	1881	 7	 6.3	5
404	1881	 8	 5.8	5
404	1881	 9	 7.8	5
404	1881	10	 4.1	5
404	1881	11	 1.4	5
404	1881	12	-0.2	5
404	1882	 1	-1.9	5
404	1882	 2	-6.6	5
404	1882	 3	-5.5	5
404	1882	 4	-5.0	5
404	1882	 5	-0.4	5
404	1882	 6	 1.7	5
404	1882	 7	 3.8	5
404	1882	 8	 2.4	5
404	1882	 9	 3.6	5
404	1882	10	 4.5	5
404	1882	11	 0.2	5
404	1882	12	-1.8	5
404	1883	 1	-0.9	5
404	1883	 2	 0.7	5
404	1883	 3	-1.7	5
404	1883	 4	 1.5	5
404	1883	 5	-0.1	5
404	1883	 6	 5.2	5
404	1883	 7	 7.4	5
404	1883	 8	 6.3	5
404	1883	 9	 6.5	5
404	1883	10	 3.7	5
404	1883	11	 1.4	5
404	1883	12	-0.1	5
404	1884	 1	-2.6	5
404	1884	 2	-0.3	5
404	1884	 3	 0.8	5
404	1884	 4	 1.1	5
404	1884	 5	 0.9	5
404	1884	 6	 6.8	5
404	1884	 7	 7.7	5
404	1884	 8	 8.8	5
404	1884	 9	 6.9	5
404	1884	10	 2.4	5
404	1884	11	 0.5	5
404	1884	12	-0.1	5
404	1885	 1	 1.2	5
404	1885	 2	-7.1	5
404	1885	 3	-4.3	5
404	1885	 4	-1.5	5
404	1885	 5	 0.9	5
404	1885	 6	 4.3	5
404	1885	 7	 6.2	5
404	1885	 8	 7.8	5
404	1885	 9	 5.8	5
404	1885	10	 1.4	5
