495 Grímsstaðir Meðalhiti
nr	ar	 man	   t	mat
495	1907	 1	-4.3	4
495	1907	 2	-7.8	4
495	1907	 3	-6.6	4
495	1907	 4	-0.3	4
495	1907	 5	 1.7	4
495	1907	 6	 4.2	4
495	1907	 7	 7.6	4
495	1907	 8	 3.9	4
495	1907	 9	 2.9	4
495	1907	10	-1.9	4
495	1907	11	-3.8	4
495	1907	12	-1.8	4
495	1908	 1	-4.4	4
495	1908	 2	-6.0	4
495	1908	 3	-2.7	4
495	1908	 4	-0.4	4
495	1908	 5	 2.8	4
495	1908	 6	 6.6	4
495	1908	 7	11.5	4
495	1908	 8	 7.3	4
495	1908	 9	 5.2	4
495	1908	10	 4.3	4
495	1908	11	-4.2	4
495	1908	12	-3.5	4
495	1909	 1	-6.0	4
495	1909	 2	-1.7	4
495	1909	 3	-5.7	4
495	1909	 4	 0.6	4
495	1909	 5	 1.6	4
495	1909	 6	10.7	4
495	1909	 7	 8.2	4
495	1909	 8	 7.5	4
495	1909	 9	 5.1	4
495	1909	10	-2.8	4
495	1909	11	-3.3	4
495	1909	12	-9.0	4
495	1910	 1	-7.1	4
495	1910	 2	-6.2	4
495	1910	 3	-2.5	4
495	1910	 4	-4.3	4
495	1910	 5	 3.3	4
495	1910	 6	 6.0	4
495	1910	 7	 9.6	4
495	1910	 8	 8.6	4
495	1910	 9	 4.6	4
495	1910	10	 1.5	4
495	1910	11	-7.3	4
495	1910	12	-4.3	4
495	1911	 1	-5.1	4
495	1911	 2	-6.3	4
495	1911	 3	-4.2	4
495	1911	 4	-2.5	4
495	1911	 5	 4.8	4
495	1911	 6	 6.0	4
495	1911	 7	 8.3	4
495	1911	 8	 7.8	4
495	1911	 9	 3.6	4
495	1911	10	 1.2	4
495	1911	11	-3.3	4
495	1911	12	-2.3	4
495	1912	 1	-5.0	4
495	1912	 2	-7.3	4
495	1912	 3	-4.7	4
495	1912	 4	-1.3	4
495	1912	 5	 4.1	4
495	1912	 6	 7.4	4
495	1912	 7	 9.3	4
495	1912	 8	 4.0	4
495	1912	 9	 5.6	4
495	1912	10	 1.2	4
495	1912	11	-4.2	4
495	1912	12	-6.1	4
495	1913	 1	-4.0	4
495	1913	 2	-3.6	4
495	1913	 3	-6.5	4
495	1913	 4	 0.3	4
495	1913	 5	 2.4	4
495	1913	 6	 6.2	4
495	1913	 7	 9.9	4
495	1913	 8	 8.3	4
495	1913	 9	 4.7	4
495	1913	10	-0.6	4
495	1913	11	-4.3	4
495	1913	12	-6.2	4
495	1914	 1	-3.9	4
495	1914	 2	-6.7	4
495	1914	 3	-7.3	4
495	1914	 4	-3.5	4
495	1914	 5	-0.7	4
495	1914	 6	 7.0	4
495	1914	 7	10.1	4
495	1914	 8	 9.1	4
495	1914	 9	 4.3	4
495	1914	10	 2.3	4
495	1914	11	-5.5	4
495	1914	12	-6.0	4
495	1915	 1	-4.6	4
495	1915	 2	-6.4	4
495	1915	 3	-6.0	4
495	1915	 4	-1.0	4
495	1915	 5	 2.4	4
495	1915	 6	 8.1	4
495	1915	 7	 6.5	4
495	1915	 8	 8.2	4
495	1915	 9	 4.3	4
495	1915	10	 5.0	4
495	1915	11	-2.3	4
495	1915	12	-8.1	4
495	1916	 1	-4.2	4
495	1916	 2	-4.3	4
495	1916	 3	-6.7	4
495	1916	 4	-3.0	4
495	1916	 5	 1.0	4
495	1916	 6	 6.7	4
495	1916	 7	11.1	4
495	1916	 8	10.0	4
495	1916	 9	 4.0	4
495	1916	10	 0.6	4
495	1916	11	-4.0	4
495	1916	12	-7.1	4
495	1917	 1	-5.8	4
495	1917	 2	-4.0	4
495	1917	 3	-3.7	4
495	1917	 4	-6.7	4
495	1917	 5	 1.8	4
495	1917	 6	 4.2	4
495	1917	 7	12.1	4
495	1917	 8	 7.1	4
495	1917	 9	 2.1	4
495	1917	10	-4.1	4
495	1917	11	-4.8	4
495	1917	12	-8.2	4
495	1918	 1	-16.4	4
495	1918	 2	-5.7	4
495	1918	 3	-2.0	4
495	1918	 4	-1.8	4
495	1918	 5	 5.3	4
495	1918	 6	 6.2	4
495	1918	 7	 6.2	4
495	1918	 8	 7.0	4
495	1918	 9	 0.2	4
495	1918	10	 0.2	4
495	1918	11	-2.5	4
495	1918	12	-5.4	4
495	1919	 1	-4.9	4
495	1919	 2	-6.7	4
495	1919	 3	-10.1	4
495	1919	 4	-3.9	4
495	1919	 5	 4.7	4
495	1919	 6	 7.4	4
495	1919	 7	11.9	4
495	1919	 8	 5.6	4
495	1919	 9	 2.4	4
495	1919	10	-0.6	4
495	1919	11	-6.3	4
495	1919	12	-4.2	4
495	1920	 1	-8.4	4
495	1920	 2	-8.0	4
495	1920	 3	-5.5	4
495	1920	 4	-4.1	4
495	1920	 5	 1.4	4
495	1920	 6	 8.8	4
495	1920	 7	 8.3	4
495	1920	 8	 7.5	4
495	1920	 9	 5.3	4
495	1920	10	 4.3	4
495	1920	11	-1.2	4
495	1920	12	-3.3	4
495	1921	 1	-7.7	4
495	1921	 2	-1.4	4
495	1921	 3	-6.3	4
495	1921	 4	-0.4	4
495	1921	 5	 0.0	4
495	1921	 6	 7.5	4
495	1921	 7	 8.7	4
495	1921	 8	 5.1	4
495	1921	 9	 2.6	4
495	1921	10	-0.2	4
495	1921	11	-2.2	4
495	1921	12	-4.7	4
495	1922	 1	-2.8	4
495	1922	 2	-3.0	4
495	1922	 3	-3.4	4
495	1922	 4	-3.0	4
495	1922	 5	 0.6	4
495	1922	 6	 4.6	4
495	1922	 7	 7.2	4
495	1922	 8	 6.9	4
495	1922	 9	 2.3	4
495	1922	10	 1.8	4
495	1922	11	-2.0	4
495	1922	12	-2.3	4
495	1923	 1	-6.2	4
495	1923	 2	-2.6	4
495	1923	 3	 0.4	4
495	1923	 4	 0.9	4
495	1923	 5	 1.1	4
495	1923	 6	 6.4	4
495	1923	 7	 7.6	4
495	1923	 8	 5.6	4
495	1923	 9	 1.2	4
495	1923	10	-0.5	4
495	1923	11	-5.8	4
495	1923	12	-6.0	4
495	1924	 1	-2.6	4
495	1924	 2	-4.0	4
495	1924	 3	-6.1	4
495	1924	 4	-3.9	4
495	1924	 5	-0.7	4
495	1924	 6	 4.4	4
495	1924	 7	 8.4	4
495	1924	 8	 6.8	4
495	1924	 9	 2.2	4
495	1924	10	 0.6	4
495	1924	11	-0.2	4
495	1924	12	-2.5	4
495	1925	 1	-3.3	4
495	1925	 2	-6.8	4
495	1925	 3	-4.2	4
495	1925	 4	-2.2	4
495	1925	 5	 2.8	4
495	1925	 6	 8.5	4
495	1925	 7	 9.7	4
495	1925	 8	 8.3	4
495	1925	 9	 4.4	4
495	1925	10	-0.9	4
495	1925	11	-2.9	4
495	1925	12	-7.6	4
495	1926	 1	-3.8	4
495	1926	 2	-2.1	4
495	1926	 3	-5.2	4
495	1926	 4	 2.1	4
495	1926	 5	 2.1	4
495	1926	 6	 8.1	4
495	1926	 7	10.8	4
495	1926	 8	 8.7	4
495	1926	 9	 3.8	4
495	1926	10	-3.3	4
495	1926	11	-3.3	4
495	1926	12	-4.1	4
495	1927	 1	-7.0	4
495	1927	 2	-3.6	4
495	1927	 3	-1.9	4
495	1927	 4	-3.3	4
495	1927	 5	 2.5	4
495	1927	 6	 6.5	4
495	1927	 7	11.9	4
495	1927	 8	 8.5	4
495	1927	 9	 4.5	4
495	1927	10	-1.4	4
495	1927	11	-2.6	4
495	1927	12	-4.2	4
495	1928	 1	-6.7	4
495	1928	 2	-4.4	4
495	1928	 3	-2.9	4
495	1928	 4	 1.7	4
495	1928	 5	 6.5	4
495	1928	 6	 3.7	4
495	1928	 7	 7.7	4
495	1928	 8	 7.3	4
495	1928	 9	 6.3	4
495	1928	10	 2.1	4
495	1928	11	-1.6	4
495	1928	12	-4.0	4
495	1929	 1	-3.1	4
495	1929	 2	-0.8	4
495	1929	 3	 2.7	4
495	1929	 4	 0.0	4
495	1929	 5	 3.3	4
495	1929	 6	 5.5	4
495	1929	 7	10.0	4
495	1929	 8	 6.4	4
495	1929	 9	 3.5	4
495	1929	10	-3.0	4
495	1929	11	-3.9	4
495	1929	12	-3.5	4
495	1930	 1	-5.4	4
495	1930	 2	-2.2	4
495	1930	 3	-8.0	4
495	1930	 4	 1.6	4
495	1930	 5	 4.0	4
495	1930	 6	 7.9	4
495	1930	 7	 8.6	4
495	1930	 8	 7.6	4
495	1930	 9	 6.9	4
495	1930	10	-0.0	4
495	1930	11	-6.7	4
495	1930	12	-2.8	4
495	1931	 1	-6.4	4
495	1931	 2	-8.6	4
495	1931	 3	-5.7	4
495	1931	 4	-0.6	4
495	1931	 5	 1.8	4
495	1931	 6	 4.2	4
495	1931	 7	 8.2	4
495	1931	 8	 9.4	4
495	1931	 9	 6.9	4
495	1931	10	-0.3	4
495	1931	11	-0.2	4
495	1931	12	-4.0	4
495	1932	 1	-5.7	4
495	1932	 2	 1.1	4
495	1932	 3	-1.6	4
495	1932	 4	-3.1	4
495	1932	 5	 5.5	4
495	1932	 6	 8.4	4
495	1932	 7	 8.0	4
495	1932	 8	 9.6	4
495	1932	 9	 2.8	4
495	1932	10	-1.2	4
495	1932	11	-1.8	4
495	1932	12	-2.9	4
495	1933	 1	-1.9	4
495	1933	 2	-8.5	4
495	1933	 3	-2.5	4
495	1933	 4	-1.8	4
495	1933	 5	 6.0	4
495	1933	 6	10.5	4
495	1933	 7	12.1	4
495	1933	 8	 9.1	4
495	1933	 9	 7.8	4
495	1933	10	-0.2	4
495	1933	11	 0.4	4
495	1933	12	 0.2	4
495	1934	 1	-4.0	4
495	1934	 2	-2.5	4
495	1934	 3	-5.3	4
495	1934	 4	-0.3	4
495	1934	 5	 2.4	4
495	1934	 6	10.5	4
495	1934	 7	11.2	4
495	1934	 8	 9.6	4
495	1934	 9	 6.1	4
495	1934	10	-0.4	4
495	1934	11	-2.2	4
495	1934	12	-0.8	4
495	1935	 1	-2.1	4
495	1935	 2	-10.2	4
495	1935	 3	-1.6	4
495	1935	 4	-3.1	4
495	1935	 5	 6.7	4
495	1935	 6	 5.7	4
495	1935	 7	 8.8	4
495	1935	 8	 8.1	4
495	1935	 9	 4.4	4
495	1935	10	-1.1	4
495	1935	11	-0.6	4
495	1935	12	-5.6	4
495	1936	 1	-9.2	4
495	1936	 2	-7.4	4
495	1936	 3	-3.4	4
495	1936	 4	-2.1	4
495	1936	 5	 5.5	4
495	1936	 6	 8.4	4
495	1936	 7	 9.1	4
495	1936	 8	 8.7	4
495	1936	 9	 6.4	4
495	1936	10	 2.1	4
495	1936	11	-3.1	4
495	1936	12	-8.5	4
495	1937	 1	-2.0	4
495	1937	 2	-5.2	4
495	1937	 3	-7.2	4
495	1937	 4	 1.7	4
495	1937	 5	 3.7	4
495	1937	 6	 7.6	4
495	1937	 7	 9.3	4
495	1937	 8	 8.4	4
495	1937	 9	 4.3	4
495	1937	10	 1.1	4
495	1937	11	-0.6	4
495	1937	12	-1.4	4
495	1938	 1	-4.7	4
495	1938	 2	-2.4	4
495	1938	 3	-2.3	4
495	1938	 4	 2.2	4
495	1938	 5	 1.3	4
495	1938	 6	 5.1	4
495	1938	 7	 6.8	4
495	1938	 8	 9.0	4
495	1938	 9	 6.5	4
495	1938	10	 0.7	4
495	1938	11	-3.1	4
495	1938	12	-2.2	4
495	1939	 1	-8.2	4
495	1939	 2	-3.6	4
495	1939	 3	-0.9	4
495	1939	 4	 0.0	4
495	1939	 5	 6.9	4
495	1939	 6	 8.2	4
495	1939	 7	 9.0	4
495	1939	 8	11.0	4
495	1939	 9	 8.9	4
495	1939	10	 2.4	4
495	1939	11	-3.5	4
495	1939	12	-5.8	4
495	1940	 1	-3.2	4
495	1940	 2	-4.9	4
495	1940	 3	-5.9	4
495	1940	 4	-1.7	4
495	1940	 5	 6.0	4
495	1940	 6	 8.8	4
495	1940	 7	 8.1	4
495	1940	 8	 7.2	4
495	1940	 9	 2.7	4
495	1940	10	 0.9	4
495	1940	11	-3.8	4
495	1940	12	-2.1	4
495	1941	 1	-6.9	4
495	1941	 2	-7.3	4
495	1941	 3	-3.8	4
495	1941	 4	-0.4	4
495	1941	 5	 6.1	4
495	1941	 6	10.3	4
495	1941	 7	10.0	4
495	1941	 8	 6.9	4
495	1941	 9	 8.5	4
495	1941	10	 1.9	4
495	1941	11	 0.1	4
495	1941	12	-2.7	4
495	1942	 1	-2.9	4
495	1942	 2	-5.4	4
495	1942	 3	-2.8	4
495	1942	 4	 0.0	4
495	1942	 5	 3.0	4
495	1942	 6	 6.5	4
495	1942	 7	 6.8	4
495	1942	 8	 8.4	4
495	1942	 9	 2.6	4
495	1942	10	-1.9	4
495	1942	11	-0.9	4
495	1942	12	-2.7	4
495	1943	 1	-5.9	4
495	1943	 2	-7.0	4
495	1943	 3	-3.0	4
495	1943	 4	-1.6	4
495	1943	 5	 1.4	4
495	1943	 6	 6.7	4
495	1943	 7	 8.8	4
495	1943	 8	 3.6	4
495	1943	 9	 4.1	4
495	1943	10	-0.2	4
495	1943	11	-2.6	4
495	1943	12	-1.7	4
495	1944	 1	-7.4	4
495	1944	 2	-5.3	4
495	1944	 3	-3.9	4
495	1944	 4	-1.2	4
495	1944	 5	 3.1	4
495	1944	 6	 6.8	4
495	1944	 7	10.2	4
495	1944	 8	 8.1	4
495	1944	 9	 4.1	4
495	1944	10	-0.3	4
495	1944	11	-4.3	4
495	1944	12	-4.4	4
495	1945	 1	-8.0	4
495	1945	 2	-5.2	4
495	1945	 3	 0.2	4
495	1945	 4	 0.3	4
495	1945	 5	 4.3	4
495	1945	 6	 7.6	4
495	1945	 7	11.4	4
495	1945	 8	11.7	4
495	1945	 9	 6.5	4
495	1945	10	 2.6	4
495	1945	11	 1.6	4
495	1945	12	-3.7	4
495	1946	 1	-1.3	4
495	1946	 2	-4.8	4
495	1946	 3	-3.0	4
495	1946	 4	-0.3	4
495	1946	 5	 6.5	4
495	1946	 6	 5.5	4
495	1946	 7	10.1	4
495	1946	 8	 7.6	4
495	1946	 9	 4.3	4
495	1946	10	 4.8	4
495	1946	11	-2.7	4
495	1946	12	-0.9	4
495	1947	 1	 0.2	4
495	1947	 2	-8.1	4
495	1947	 3	-9.8	4
495	1947	 4	-2.8	4
495	1947	 5	 6.4	4
495	1947	 6	 7.2	4
495	1947	 7	10.1	4
495	1947	 8	10.5	4
495	1947	 9	 4.9	4
495	1947	10	 1.9	4
495	1947	11	-4.7	4
495	1947	12	-3.7	4
495	1948	 1	-3.9	4
495	1948	 2	-2.2	4
495	1948	 3	 0.7	4
495	1948	 4	-2.7	4
495	1948	 5	 2.2	4
495	1948	 6	 6.4	4
495	1948	 7	 8.2	4
495	1948	 8	 9.2	4
495	1948	 9	 1.1	4
495	1948	10	-1.6	4
495	1948	11	-1.5	4
