505 Raufarhöfn Meðalhiti
nr	ar	 man	   t	mat
505	1921	 1	-4.3	2
505	1921	 2	 0.9	2
505	1921	 3	-3.5	2
505	1921	 4	-0.9	2
505	1921	 5	 1.1	2
505	1921	 6	 5.9	2
505	1921	 7	 7.6	2
505	1921	 8	 5.4	2
505	1921	 9	 4.4	2
505	1921	10	 1.5	2
505	1921	11	 0.1	2
505	1921	12	-1.8	2
505	1922	 1	 0.3	5
505	1922	 2	 0.5	5
505	1922	 3	-1.2	5
505	1922	 4	-0.9	5
505	1922	 5	 1.4	5
505	1922	 6	 5.1	5
505	1922	 7	 6.8	5
505	1922	 8	 7.1	5
505	1922	 9	 4.2	5
505	1922	10	 3.8	5
505	1922	11	 0.2	5
505	1922	12	 1.0	5
505	1923	 1	-2.9	5
505	1923	 2	 0.6	5
505	1923	 3	 2.3	5
505	1923	 4	 2.1	5
505	1923	 5	 2.1	5
505	1923	 6	 5.8	5
505	1923	 7	 7.6	5
505	1923	 8	 6.7	5
505	1923	 9	 3.8	5
505	1923	10	 2.3	5
505	1923	11	-2.2	5
505	1923	12	-2.3	5
505	1924	 1	 0.3	5
505	1924	 2	-1.8	5
505	1924	 3	-3.2	5
505	1924	 4	-1.2	5
505	1924	 5	 0.9	5
505	1924	 6	 4.7	5
505	1924	 7	 7.6	5
505	1924	 8	 7.3	5
505	1924	 9	 4.5	5
505	1924	10	 2.8	5
505	1924	11	 1.9	5
505	1924	12	 0.6	5
505	1925	 1	-0.7	5
505	1925	 2	-2.8	5
505	1925	 3	-1.8	5
505	1925	 4	-0.2	5
505	1925	 5	 2.7	5
505	1925	 6	 8.7	5
505	1925	 7	10.0	5
505	1925	 8	 8.4	5
505	1925	 9	 6.2	5
505	1925	10	 1.5	5
505	1925	11	 0.5	5
505	1925	12	-2.8	5
505	1926	 1	-0.0	5
505	1926	 2	 0.8	5
505	1926	 3	-2.1	5
505	1926	 4	 3.0	5
505	1926	 5	 3.2	5
505	1926	 6	 6.8	5
505	1926	 7	11.6	5
505	1926	 8	 9.2	5
505	1926	 9	 5.2	5
505	1926	10	-0.1	5
505	1926	11	 0.9	5
505	1926	12	-1.3	5
505	1927	 1	-2.9	5
505	1927	 2	 0.1	5
505	1927	 3	 0.4	5
505	1927	 4	-1.6	5
505	1927	 5	 4.0	5
505	1927	 6	 6.6	5
505	1927	 7	11.9	5
505	1927	 8	 8.4	5
505	1927	 9	 6.1	5
505	1927	10	 2.1	5
505	1927	11	 1.1	5
505	1927	12	-0.0	5
505	1928	 1	-1.6	5
505	1928	 2	-0.8	5
505	1928	 3	-0.7	5
505	1928	 4	 2.6	5
505	1928	 5	 5.0	5
505	1928	 6	 4.1	5
505	1928	 7	 7.1	5
505	1928	 8	 8.0	5
505	1928	 9	 7.4	5
505	1928	10	 4.4	5
505	1928	11	 1.1	5
505	1928	12	-0.8	5
505	1929	 1	 0.1	5
505	1929	 2	 1.6	5
505	1929	 3	 3.2	5
505	1929	 4	 0.7	5
505	1929	 5	 3.3	5
505	1929	 6	 4.6	5
505	1929	 7	 9.3	5
505	1929	 8	 6.5	5
505	1929	 9	 4.6	5
505	1929	10	 0.1	5
505	1929	11	-0.2	5
505	1929	12	 0.9	5
505	1930	 1	-2.3	5
505	1930	 2	 0.2	5
505	1930	 3	-4.8	5
505	1930	 4	 2.6	5
505	1930	 5	 4.0	5
505	1930	 6	 7.9	5
505	1930	 7	 8.2	5
505	1930	 8	 7.5	5
505	1930	 9	 7.3	5
505	1930	10	 2.5	5
505	1930	11	-3.4	5
505	1930	12	 0.2	5
505	1931	 1	-2.7	5
505	1931	 2	-3.9	5
505	1931	 3	-2.2	5
505	1931	 4	 1.4	5
505	1931	 5	 2.8	5
505	1931	 6	 5.0	5
505	1931	 7	 7.5	5
505	1931	 8	 9.8	5
505	1931	 9	 7.9	5
505	1931	10	 2.4	5
505	1931	11	 3.1	5
505	1931	12	-1.0	5
505	1932	 1	-2.3	5
505	1932	 2	 1.8	5
505	1932	 3	 0.3	5
505	1932	 4	-1.8	5
505	1932	 5	 4.0	5
505	1932	 6	 8.0	5
505	1932	 7	 7.2	5
505	1932	 8	 9.5	5
505	1932	 9	 5.0	5
505	1932	10	 1.7	5
505	1932	11	 0.5	5
505	1932	12	-0.2	5
505	1933	 1	 0.6	5
505	1933	 2	-4.1	5
505	1933	 3	 0.3	5
505	1933	 4	-0.7	5
505	1933	 5	 5.0	5
505	1933	 6	 9.7	5
505	1933	 7	11.7	5
505	1933	 8	 9.7	5
505	1933	 9	 8.7	5
505	1933	10	 2.0	5
505	1933	11	 2.4	5
505	1933	12	 2.0	5
505	1934	 1	-1.2	5
505	1934	 2	-0.9	5
505	1934	 3	-2.0	5
505	1934	 4	 0.2	5
505	1934	 5	 3.4	5
505	1934	 6	 8.8	5
505	1934	 7	 9.6	5
505	1934	 8	 9.6	5
505	1934	 9	 7.6	5
505	1934	10	 2.3	5
505	1934	11	-0.3	5
505	1934	12	 1.6	5
505	1935	 1	 0.7	5
505	1935	 2	-5.5	5
505	1935	 3	 0.8	5
505	1935	 4	-0.8	5
505	1935	 5	 6.0	5
505	1935	 6	 6.2	5
505	1935	 7	 9.8	5
505	1935	 8	 8.9	5
505	1935	 9	 6.5	5
505	1935	10	 1.3	5
505	1935	11	 2.5	5
505	1935	12	-1.0	5
505	1936	 1	-5.1	5
505	1936	 2	-2.9	5
505	1936	 3	-1.7	5
505	1936	 4	-0.1	5
505	1936	 5	 6.0	5
505	1936	 6	 9.1	5
505	1936	 7	 9.9	5
505	1936	 8	 9.4	5
505	1936	 9	 6.7	5
505	1936	10	 3.8	5
505	1936	11	 0.2	5
505	1936	12	-4.0	5
505	1937	 1	 0.2	5
505	1937	 2	-1.6	5
505	1937	 3	-4.2	5
505	1937	 4	 2.1	5
