675 Teigarhorn Meðalhiti
nr	ar	 man	   t	mat
675	1873	 1	 0.4	5
675	1873	 2	-0.3	5
675	1873	 3	 2.3	5
675	1873	 4	 3.3	5
675	1873	 5	 2.9	5
675	1873	 6	 7.4	5
675	1873	 7	 8.4	5
675	1873	 8	 8.8	5
675	1873	 9	 5.8	5
675	1873	10	 1.4	5
675	1873	11	-1.0	5
675	1873	12	-1.4	5
675	1874	 1	-6.8	5
675	1874	 2	-0.8	5
675	1874	 3	-1.3	5
675	1874	 4	 1.0	5
675	1874	 5	 3.8	5
675	1874	 6	 7.0	5
675	1874	 7	 7.1	5
675	1874	 8	 7.1	5
675	1874	 9	 5.6	5
675	1874	10	 2.9	5
675	1874	11	 0.9	5
675	1874	12	-1.2	5
675	1875	 1	-0.6	5
675	1875	 2	 0.0	5
675	1875	 3	 1.9	5
675	1875	 4	 2.9	5
675	1875	 5	 5.4	5
675	1875	 6	 6.4	5
675	1875	 7	 8.6	5
675	1875	 8	 8.6	5
675	1875	 9	 7.9	5
675	1875	10	 5.2	5
675	1875	11	 0.8	5
675	1875	12	 1.7	5
675	1876	 1	 1.3	5
675	1876	 2	-1.1	5
675	1876	 3	-3.7	5
675	1876	 4	-3.5	5
675	1876	 5	 4.2	5
675	1876	 6	 7.0	5
675	1876	 7	 8.4	5
675	1876	 8	 8.2	5
675	1876	 9	 6.6	5
675	1876	10	 4.7	5
675	1876	11	 2.5	5
675	1876	12	 1.1	5
675	1877	 1	-2.0	5
675	1877	 2	-3.1	5
675	1877	 3	-2.3	5
675	1877	 4	 0.3	5
675	1877	 5	 3.1	5
675	1877	 6	 6.0	5
675	1877	 7	 7.5	5
675	1877	 8	 6.8	5
675	1877	 9	 7.4	5
675	1877	10	 3.4	5
675	1877	11	 1.3	5
675	1877	12	-0.9	5
675	1878	 1	-2.0	5
675	1878	 2	 0.1	5
675	1878	 3	-2.5	5
675	1878	 4	 0.6	5
675	1878	 5	 2.2	5
675	1878	 6	 6.6	5
675	1878	 7	 9.1	5
675	1878	 8	 8.4	5
675	1878	 9	 6.4	5
675	1878	10	 3.2	5
675	1878	11	-1.3	5
675	1878	12	-5.2	5
675	1879	 1	-0.3	5
675	1879	 2	-2.2	5
675	1879	 3	-2.8	5
675	1879	 4	 0.0	5
675	1879	 5	 3.3	5
675	1879	 6	 5.4	5
675	1879	 7	 6.8	5
675	1879	 8	 7.6	5
675	1879	 9	 5.9	5
675	1879	10	 3.8	5
675	1879	11	 1.9	5
675	1879	12	 1.1	5
675	1880	 1	 0.9	5
675	1880	 2	 0.6	5
675	1880	 3	 2.3	5
675	1880	 4	 4.7	5
675	1880	 5	 5.5	5
675	1880	 6	 7.5	5
675	1880	 7	 9.4	5
675	1880	 8	10.4	5
675	1880	 9	 7.9	5
675	1880	10	 1.4	5
675	1880	11	-2.2	5
675	1880	12	-6.7	5
675	1881	 1	-8.6	5
675	1881	 2	-5.5	5
675	1881	 3	-9.6	5
675	1881	 4	-0.4	5
675	1881	 5	 2.9	5
675	1881	 6	 4.7	5
675	1881	 7	 6.6	5
675	1881	 8	 6.3	5
675	1881	 9	 7.1	5
675	1881	10	 3.8	5
675	1881	11	 2.6	5
675	1881	12	-0.1	5
675	1882	 1	 0.6	5
675	1882	 2	-3.1	5
675	1882	 3	-2.5	5
675	1882	 4	-2.1	5
675	1882	 5	 1.6	5
675	1882	 6	 4.2	5
675	1882	 7	 6.6	5
675	1882	 8	 6.6	5
675	1882	 9	 5.5	5
675	1882	10	 5.6	5
675	1882	11	 1.2	5
675	1882	12	-1.0	5
675	1883	 1	 1.0	5
675	1883	 2	 2.2	5
675	1883	 3	-0.6	5
675	1883	 4	 3.2	5
675	1883	 5	 2.5	5
675	1883	 6	 7.1	5
675	1883	 7	 7.8	5
675	1883	 8	 8.2	5
675	1883	 9	 6.8	5
675	1883	10	 4.4	5
675	1883	11	 2.3	5
675	1883	12	-0.1	5
675	1884	 1	-1.7	5
675	1884	 2	 0.7	5
675	1884	 3	 2.4	5
675	1884	 4	 3.3	5
675	1884	 5	 3.0	5
675	1884	 6	 7.1	5
675	1884	 7	 8.0	5
675	1884	 8	 8.8	5
675	1884	 9	 7.4	5
675	1884	10	 3.0	5
675	1884	11	 0.9	5
675	1884	12	 0.7	5
675	1885	 1	 1.3	5
675	1885	 2	-3.7	5
675	1885	 3	-3.1	5
675	1885	 4	 1.0	5
675	1885	 5	 2.6	5
675	1885	 6	 5.3	5
675	1885	 7	 7.7	5
675	1885	 8	 7.3	5
675	1885	 9	 6.2	5
675	1885	10	 1.8	5
675	1885	11	 0.5	5
675	1885	12	-1.7	5
675	1886	 1	-4.6	5
675	1886	 2	-0.7	5
675	1886	 3	-1.2	5
675	1886	 4	-0.1	5
675	1886	 5	 1.8	5
675	1886	 6	 5.8	5
675	1886	 7	 7.0	5
675	1886	 8	 7.1	5
675	1886	 9	 6.0	5
675	1886	10	 4.5	5
