"STOD","NAFN","SKST","LENGD_X","BREIDD_Y","H_STOD","SPASV","TEG","UPPHAF","ENDIR"
1,"Reykjavík","rvk",21.90277,64.12747,52,1,"sk",1920,NA
2,"Sjómannaskóli","sjsk",21.95,64.133,44,1,"ur",1961,1963
3,"Reykjavík Háahlíð","rvkh",21.90762,64.12884,60.2,1,"sk",2021,NA
4,"Reykjavík S","rvk",21.90277,64.12747,52,1,"sk",2015,NA
10,"Víðistaðir","vst",21.967,64.067,4,1,"vf",1933,1968
12,"Straumsvík","strm",22.038,64.04337,7,1,"ur",2002,2003
13,"Hamranes","hmr",21.967,64.033,35,1,"ur",1978,1979
15,"Vífilsstaðir","vlfs",21.883,64.083,62,1,"ur",1963,2000
20,"Elliðaárstöð","ell",21.839,64.119,26,1,"ur",1922,2011
25,"Rjúpnahæð","rpnh",21.8437,64.08522,120,1,"ur",1958,2008
30,"Hólmur","hlm",21.717,64.083,87,1,"vf",1961,1983
35,"Heiðmörk","hdm",21.733,64.067,136,1,"vf",1957,2001
38,"Svínahraun","svnh",21.5,64.05,240,1,"ur",1984,1990
40,"Kolviðarhóll","klvh",21.383,64.033,270,1,"ur",1964,1964
46,"Korpa","krp",21.7522,64.15097,35,1,"ur",1961,2016
51,"Mosfell","msf",21.617,64.183,60,1,"ur",1975,1976
52,"Varmaland í Mosfellsbæ","vrml",21.617,64.183,65,1,"ur",1963,1964
68,"Stíflisdalur","stfl",21.31182,64.25155,181,1,"ur",1993,2004
70,"Stardalur","strd",21.48408,64.21202,185,1,"ur",1963,2008
73,"Mógilsá","mgls",21.7,64.217,5,1,"vf",1967,1979
83,"Meðalfell","mdlf",21.6,64.317,65,1,"ur",1969,1984
85,"Neðri-Háls","nhls",21.633,64.35,40,1,"ur",1990,1993
88,"Stóri-Botn","stb",21.3,64.383,60,1,"ur",1947,1982
93,"Grundartangi","grt",21.783,64.35,12,1,"vf",1978,1992
94,"Kirkjuból","krkb",21.9279,64.30725,10,1,"ur",1996,NA
95,"Akranes","akrn",22.083,64.317,7,1,"vf",1965,1988
97,"Neðra-Skarð","ndrs",21.807,64.42775,80,1,"ur",1991,NA
103,"Andakílsárvirkjun","and",21.69488,64.539,10,1,"ur",1949,NA
105,"Hvanneyri","hvn",21.7649,64.5622,12.4,1,"ur",1997,1998
108,"Stafholtsey","stey",21.59075,64.64193,14,1,"sk",1988,2017
110,"Fitjar","ft",21.3,64.467,80,1,"vf",1979,1981
117,"Augastaðir","agst",21.02727,64.67198,155,1,"ur",1994,NA
