178 Stykkishólmur Meðalhiti
nr	ar	 man	   t	mat
178	1830	 1	 1.4	2
178	1830	 2	-2.7	2
178	1830	 3	-2.5	2
178	1830	 4	 0.1	2
178	1830	 5	 8.3	2
178	1830	 6	10.6	2
178	1830	 7	10.5	2
178	1830	 8	10.5	2
178	1830	 9	 8.6	2
178	1830	10	 4.9	2
178	1830	11	-0.5	2
178	1830	12	-3.7	2
178	1831	 1	-0.8	2
178	1831	 2	-2.8	2
178	1831	 3	 1.3	2
178	1831	 4	 2.0	2
178	1831	 5	 4.7	2
178	1831	 6	11.7	2
178	1831	 7	10.5	2
178	1831	 8	 8.6	2
178	1831	 9	 7.3	2
178	1831	10	 3.8	2
178	1831	11	-1.3	2
178	1831	12	 0.8	2
178	1832	 1	-0.1	2
178	1832	 2	-3.2	2
178	1832	 3	-3.1	2
178	1832	 4	 1.0	2
178	1832	 5	 3.9	2
178	1832	 6	 7.4	2
178	1832	 7	 8.8	2
178	1832	 8	 7.4	2
178	1832	 9	 5.4	2
178	1832	10	 2.6	2
178	1832	11	 1.8	2
178	1832	12	-1.1	2
178	1833	 1	 0.8	2
178	1833	 2	-2.2	2
178	1833	 3	 0.5	2
178	1833	 4	 0.6	2
178	1833	 5	 5.7	2
178	1833	 6	 8.4	2
178	1833	 7	 8.8	2
178	1833	 8	 8.3	2
178	1833	 9	 6.6	2
178	1833	10	 2.3	2
178	1833	11	 0.5	2
178	1833	12	-2.7	2
178	1834	 1	-1.4	2
178	1834	 2	-2.6	2
178	1834	 3	-0.6	2
178	1834	 4	 1.0	2
178	1834	 5	 4.8	2
178	1834	 6	 7.0	2
178	1834	 7	 9.6	2
178	1834	 8	 8.5	2
178	1834	 9	 6.4	2
178	1834	10	 2.0	2
178	1834	11	 0.4	2
178	1834	12	 2.2	2
178	1835	 1	-5.9	2
178	1835	 2	-5.0	2
178	1835	 3	-3.0	2
178	1835	 4	-0.6	2
178	1835	 5	 4.5	2
178	1835	 6	 8.5	2
178	1835	 7	11.0	2
178	1835	 8	11.6	2
178	1835	 9	 7.1	2
178	1835	10	 1.0	2
178	1835	11	 2.9	2
178	1835	12	 0.7	2
178	1836	 1	-3.2	2
178	1836	 2	-6.8	2
178	1836	 3	-3.4	2
178	1836	 4	-2.5	2
178	1836	 5	 5.7	2
178	1836	 6	 7.8	2
178	1836	 7	10.4	2
178	1836	 8	 7.9	2
178	1836	 9	 6.0	2
178	1836	10	 1.6	2
178	1836	11	-2.4	2
178	1836	12	-3.0	2
178	1837	 1	-1.4	2
178	1837	 2	-1.4	2
178	1837	 3	-3.8	2
178	1837	 4	-1.4	2
178	1837	 5	 3.7	2
178	1837	 6	 8.8	2
178	1837	 7	10.8	2
178	1837	 8	10.0	2
178	1837	 9	 7.7	2
178	1837	10	 3.6	2
178	1837	11	-3.4	2
178	1837	12	 1.6	2
178	1838	 1	 0.0	2
178	1838	 2	-1.3	2
178	1838	 3	-2.1	2
178	1838	 4	-1.2	2
178	1838	 5	 5.9	2
178	1838	 6	 8.5	2
178	1838	 7	12.0	2
178	1838	 8	 9.7	2
178	1838	 9	 6.3	2
178	1838	10	 2.6	2
178	1838	11	-2.3	2
178	1838	12	 0.1	2
178	1839	 1	-5.1	2
178	1839	 2	-5.5	2
178	1839	 3	-1.6	2
178	1839	 4	 2.5	2
178	1839	 5	 3.5	2
178	1839	 6	 7.8	2
178	1839	 7	 9.8	2
178	1839	 8	10.2	2
178	1839	 9	 7.7	2
178	1839	10	 3.1	2
178	1839	11	 0.4	2
178	1839	12	-3.2	2
178	1840	 1	-5.2	2
178	1840	 2	 0.5	2
178	1840	 3	 3.1	2
178	1840	 4	 0.3	2
178	1840	 5	 4.1	2
178	1840	 6	 8.6	2
178	1840	 7	 8.8	2
178	1840	 8	 9.5	2
178	1840	 9	 5.2	2
178	1840	10	 4.7	2
178	1840	11	 2.1	2
178	1840	12	 1.6	2
178	1841	 1	-2.3	2
178	1841	 2	 0.8	2
178	1841	 3	 1.1	2
178	1841	 4	 2.3	2
178	1841	 5	 5.0	2
178	1841	 6	 8.6	2
178	1841	 7	 9.0	2
178	1841	 8	 7.6	2
178	1841	 9	 7.9	2
178	1841	10	 1.4	2
178	1841	11	-4.5	2
178	1841	12	-4.1	2
178	1842	 1	 0.7	2
178	1842	 2	-0.5	2
178	1842	 3	 0.5	2
178	1842	 4	 3.5	2
178	1842	 5	 6.9	2
178	1842	 6	 8.5	2
178	1842	 7	11.7	2
178	1842	 8	10.5	2
178	1842	 9	 7.8	2
178	1842	10	 3.7	2
178	1842	11	-1.3	2
178	1842	12	 0.1	2
178	1843	 1	-5.1	2
178	1843	 2	-4.9	2
178	1843	 3	-0.6	2
178	1843	 4	 1.0	2
178	1843	 5	 6.1	2
178	1843	 6	 9.0	2
178	1843	 7	10.4	2
178	1843	 8	11.0	2
178	1843	 9	 8.1	2
178	1843	10	 0.9	2
178	1843	11	-0.3	2
178	1843	12	 0.0	2
178	1844	 1	-1.0	2
178	1844	 2	-6.0	2
178	1844	 3	-0.6	2
178	1844	 4	 0.0	2
178	1844	 5	 5.7	2
178	1844	 6	 9.3	2
178	1844	 7	10.5	2
178	1844	 8	10.2	2
178	1844	 9	 7.5	2
178	1844	10	 3.2	2
178	1844	11	 1.2	2
178	1844	12	 0.9	2
178	1845	 1	-2.8	2
178	1845	 2	-1.6	2
178	1845	 3	 1.0	2
178	1845	 4	 3.9	2
178	1845	 5	 7.5	2
178	1845	 6	 8.0	2
178	1845	 7	10.8	2
178	1845	 8	 9.8	2
178	1845	 9	 6.9	2
178	1845	10	 4.3	2
178	1845	11	-0.5	2
178	1845	12	-3.9	2
178	1846	 1	-1.2	5
178	1846	 2	 0.7	5
178	1846	 3	-2.2	5
178	1846	 4	 1.6	5
178	1846	 5	 6.5	5
178	1846	 6	10.4	5
178	1846	 7	10.3	5
178	1846	 8	11.0	5
178	1846	 9	 8.8	5
178	1846	10	 2.7	5
178	1846	11	 3.5	5
178	1846	12	-0.8	5
178	1847	 1	 3.4	5
178	1847	 2	 0.0	5
178	1847	 3	 3.6	5
178	1847	 4	 1.9	5
