"STOD","AR","MAN","HITI","MHAM","HAM","MLAG","LAGM","R","R_RI","R_SL","R_SN"
1,1949,1,-2.71,0.45,6.6,-6.85,-15.2,68.8,0,40.7,28.1
1,1949,2,0.04,2.52,7.8,-2.5,-7.5,80,9.2,43.8,27
1,1949,3,0.11,2.8,7.4,-2.85,-14.3,58.7,29.1,22,7.6
1,1949,4,-0.03,3.11,6.6,-2.85,-8.9,51.8,4.9,42.9,4
1,1949,5,3.63,7.16,13,0.32,-5,27.9,20,3.6,4.3
1,1949,6,9.82,12.98,20.4,6.68,1.6,44.2,44.2,0,0
1,1949,7,10.49,13.25,17.1,8.66,6,66,66,0,0
1,1949,8,10.11,13.29,16.5,7.35,2,96,96,0,0
1,1949,9,9,11.13,15.7,7.16,1.8,97.9,97.9,0,0
1,1949,10,4.49,7.53,14.2,1.97,-9.3,35.9,34.7,1.2,0
1,1949,11,2.46,5.03,9.4,-0.29,-7,72,66.3,5.5,0.2
1,1949,12,-1.31,0.95,6.3,-4.64,-15.3,54.2,23.8,12.6,17.8
1,1950,1,2.78,5.25,9.6,0.43,-4.3,128.3,74,51.6,2.7
1,1950,2,-0.68,2.35,6.1,-3.41,-13.6,30.6,7.2,16.6,6.8
1,1950,3,1.3,4.45,8.3,-1.17,-9.2,59.1,21.6,32,5.5
1,1950,4,2.2,5.32,8.3,-0.46,-4.9,10,2.9,6.3,0.8
1,1950,5,7.11,9.8,11.6,4.44,-0.3,61.2,42.8,18.4,0
1,1950,6,9.34,12.36,18.3,6.78,3.8,42,41.8,0.2,0
1,1950,7,12.38,15.6,23.2,9.5,7.2,52.3,52.3,0,0
1,1950,8,12.14,15.29,19.6,9.64,6.1,55.6,55.6,0,0
1,1950,9,7.25,10.68,13,4.02,-0.2,37.3,37.3,0,0
1,1950,10,4.53,6.9,10.1,2.25,-3.4,91,91,0,0
1,1950,11,0.68,3.02,9.9,-1.56,-10.5,57.9,44.2,13.7,0
1,1950,12,-1.36,1.29,6.3,-3.85,-11.6,46.8,20,24.1,2.7
1,1951,1,-1.47,1.33,6.2,-4.26,-10.7,61.1,5.9,47.6,7.6
1,1951,2,-0.87,1.53,6.7,-3.81,-9,49.8,2.1,33.8,13.9
1,1951,3,-3,0.06,6.5,-6.1,-10.9,25.5,7.2,2.5,15.8
1,1951,4,-0.01,3.13,13,-2.55,-12,21.7,8.3,11.1,2.3
1,1951,5,6.88,9.58,14.4,4.73,-1.4,23.4,23.4,0,0
